year,Médiane,Médiane privé,Médiane public,ARTE,Animaux,BFM TV,Canal+,Canal+ Sport,Chasse et pêche,Chérie 25,Comédie+,D8/C8,Euronews,Eurosport France,France 2,France 24,France 3,France 5,France O,Histoire,I-Télé/CNews,L'Equipe 21,LCI,LCP/Public Sénat,La chaîne Météo,M6,Monte Carlo TMC,NRJ 12,Paris Première,Planète+,TF1,TV Breizh,TV5 Monde,Toute l'Histoire,Téva,Voyage,W9
2010,28.456111604983025,29.061639988871633,28.142902344571496,28.142902344571496,25.90757253463454,38.657280543057546,21.51190904161979,5.9729542393806625,7.191762448544618,,29.579478405274216,,34.228341588704545,6.957224029147804,28.456111604983025,,29.843796534996375,26.896620443528292,31.723482974703813,,38.460709798007045,,32.62084196681204,25.256254313885062,31.1698082315849,39.40278529924919,28.543801572469047,30.924828451550805,24.8360790899738,17.715349611731984,32.37882301327677,,28.02868276237841,17.8601299587232,,23.647660181844163,30.842987322969794
2011,28.699712001358265,28.137377593981626,29.35585014054319,28.066214715552302,31.552512597041616,36.92473806835565,22.158304388849643,5.532296190431669,8.144226877239982,,28.137377593981626,,30.681695594316054,7.395577437648261,30.60460090113992,43.79999051786408,30.01198827972812,26.959951635780605,34.22439897244679,16.264416111241175,39.7197062542852,,33.67961593605219,26.801477176707895,27.034462692571502,39.040332951107935,29.445112717342425,27.40061903474688,25.52125150358215,15.799666373733299,34.654423904665926,29.88416433895874,28.699712001358265,20.773158009032887,44.83728344018357,25.00898813273798,32.866200908080565
2012,30.304361192436772,30.304361192436772,30.13202116779225,29.943391866982537,34.93134825046644,35.41850320222516,22.350215675848027,5.211815278454215,7.018203540222437,,31.90628204885429,,30.61316456008134,8.083346257603727,33.44531070623485,45.018032863354094,30.32065046860196,28.674699258314888,35.9199672072171,16.404075284475752,37.28203143524295,,32.638833689107344,29.133673993270758,27.77140474415442,40.64356763937142,30.304361192436772,32.673525889586216,21.008999527687987,16.061340550154195,35.93875193789674,29.34718928002188,28.571515860816326,19.347722492415894,43.83392316365572,24.32763131151676,32.19063868387818
2013,30.029029149965247,29.597515725592167,30.4347110658079,27.587263045168143,33.73874583861331,35.81155320704737,23.414536181895937,4.9443778442181845,10.09888375973494,48.294389434096004,29.255711371437528,27.814514795834018,36.71865967351382,8.884800075111714,34.886430445098306,43.82043031788675,30.750683911432112,28.679668748087796,37.5408661639612,15.5173510767466,34.46458196847565,22.961725368180716,33.47618627632621,27.91827987378992,18.421602883706658,40.708158113804394,30.813337990042232,30.674707258653722,22.519630030542427,15.655506944110723,36.484382354138724,29.93932007974681,30.118738220183687,17.2191563576848,45.76238037783062,26.81814978862775,34.937837768784554
2014,30.548617001591037,30.734421099414085,30.395366329916193,29.091073469905787,33.90868510423651,33.31911666090571,22.12367299237239,5.095775628337789,10.310288596580266,48.91754597219619,31.637882454413834,31.14989815360672,37.61037099669075,7.8610175491278325,35.0795758950855,44.99147959145337,30.012442701871766,30.77828995796062,34.015039447903014,18.60096048263929,34.21705188654999,22.609735991651515,33.232247732666316,29.559332345130418,13.064368215145022,41.17379630893965,30.318944045221453,35.24455770860689,22.321417699181715,17.28267881071151,36.73067839419855,30.173381802565675,29.505054393289075,19.644503079324608,46.72192249956213,24.428790569555346,36.40868788075179
2015,30.55360313500899,29.246557655631925,31.310921204346414,28.28387072896389,36.77573977300372,33.62418908900725,21.536859698528914,4.912640341606156,9.1497518738192,37.3290454135079,29.697663464910995,27.52428421354578,35.39343354962911,7.801830722783509,36.21095447112758,44.448384793572934,30.12688868732587,31.89270112964359,31.641524826000722,20.626347674650297,35.194313306282474,14.67981642582165,36.860963104914745,30.98031758269211,13.614501475083967,40.63813091743655,28.795451846352854,33.06013299617276,21.017236450710435,15.888833962877921,35.346751840792244,32.908707747674875,29.587629691667605,20.657402102193984,51.210879719316104,24.075768707530333,36.93924232991307
2016,30.99215140712861,28.949580156632837,31.923476366727648,28.257920895630473,36.56472560881775,35.63226003561944,22.0995672361379,4.838224987026434,7.2589125210980985,41.837747247004245,28.513473151209585,26.154351375618916,30.95794547236568,8.012118788909232,33.92145412835245,45.933815900407396,32.63479635381367,34.47426581462924,31.02635734189154,16.134625853349664,33.70378604050557,9.891840224452645,34.94381262745534,30.328369024613067,14.955341194795487,41.22403703972862,29.38568716205609,33.924960099185384,22.51810601170466,16.8856145839924,37.39063527780904,32.10454221634168,31.21215637964163,18.366167899366364,53.3579300360731,21.869992102071254,37.072227603164194
2017,30.75640161078624,28.2681477353969,34.14452999856359,29.860240687554473,37.68176151651506,36.05572270094781,22.01619694490687,4.813465984423973,9.108982132264543,41.67980215473349,26.18616224704205,27.295338091357607,31.580819596300497,5.595861852588684,36.41515787899744,44.64361657109559,34.991187386781206,35.217927407596044,33.297872610345976,21.07237554127373,29.2409573794362,12.813498000039145,32.2129981933496,31.39197795186572,16.771740153016896,43.59281087936905,30.085632752149998,35.453065904643694,21.8045650397315,16.269306054343215,38.11042499611489,30.639224327268742,30.873578894303744,17.143527820296132,50.65505691204858,23.539410804262737,36.083906538309044
2018,31.78717799338086,29.404018440486663,35.23982404219457,31.1489534647153,40.99981927314211,36.99559666529718,22.485153691737544,5.137714741650995,11.774427136755584,39.983769271327006,28.367153032273386,28.3769902073018,34.89162555702699,5.617468543657603,37.24429925353736,45.99064159398676,35.37314449879114,36.091543618761804,35.106503585598,24.12733665367189,30.431046673671524,12.936566161270946,31.679395716828807,34.358285826816356,14.202462714074368,42.196399790751926,31.683620289082693,35.314814987129125,23.70618637668973,19.090401266138926,38.20715691117824,31.890735697679023,35.08081948299965,17.944907646051764,47.54970857518087,26.08080378570629,35.129244203003196
2019,32.88088234752422,31.13162002237535,36.59444859593734,32.8164656046445,38.53242393030715,34.23135499531699,22.70213656101075,5.136650864163029,12.045818606364927,39.85225212210074,33.66962522806119,29.815084489420546,35.70667939178433,9.858520804381008,38.918406967043744,47.917399538024654,35.906998140221205,37.281899051653475,37.365873322750886,24.14199875586385,31.261062181726796,14.277578618314168,31.04590733176701,33.920288438753026,13.714682401351098,43.684264132999736,32.945299090403935,31.217332712983698,25.80695850647196,20.50207190979987,41.98504626761073,31.753470809772434,35.59168705994433,18.575964750171334,49.50717526992731,24.912812649488075,35.75575523439771
